std_train_score,"[ 0.00130474  0.00130474  0.00130474  0.00130474  0.00130474  0.00130474
  0.00129988  0.00131079]"
rank_test_score,[1 1 1 1 1 1 1 1]
mean_score_time,"[ 0.00928434  0.00924961  0.01201963  0.00950734  0.00962226  0.00945958
  0.01015933  0.01023706]"
std_test_score,"[ 0.00169049  0.00169049  0.00169049  0.00169049  0.00169049  0.00169049
  0.00169049  0.00169049]"
split1_train_score,"[ 0.7791283  0.7791283  0.7791283  0.7791283  0.7791283  0.7791283
  0.7791283  0.7791051]"
split0_test_score,"[ 0.77463351  0.77463351  0.77463351  0.77463351  0.77463351  0.77463351
  0.77463351  0.77463351]"
mean_test_score,"[ 0.77568157  0.77568157  0.77568157  0.77568157  0.77568157  0.77568157
  0.77568157  0.77568157]"
split2_train_score,"[ 0.78198645  0.78198645  0.78198645  0.78198645  0.78198645  0.78198645
  0.78198645  0.78198645]"
split0_train_score,"[ 0.78179583  0.78179583  0.78179583  0.78179583  0.78179583  0.78179583
  0.78177263  0.78177263]"
params,"({'alpha': 1e-05}, {'alpha': 5e-05}, {'alpha': 0.0001}, {'alpha': 0.0005}, {'alpha': 0.001}, {'alpha': 0.005}, {'alpha': 0.01}, {'alpha': 0.05})"
std_fit_time,"[ 0.06275141  0.01775716  0.04711132  0.10987957  0.00332186  0.01261817
  0.06935714  0.04561523]"
std_score_time,"[ 0.00025359  0.00030629  0.0041237   0.00032959  0.00012828  0.00024292
  0.00132287  0.00106695]"
split2_test_score,"[ 0.7743447  0.7743447  0.7743447  0.7743447  0.7743447  0.7743447
  0.7743447  0.7743447]"
mean_train_score,"[ 0.78097019  0.78097019  0.78097019  0.78097019  0.78097019  0.78097019
  0.78096246  0.78095473]"
mean_fit_time,"[ 0.73286637  0.65636738  0.68494495  0.73303     0.64318268  0.66161672
  0.7335066   0.73423298]"
param_alpha,[1e-05 5e-05 0.0001 0.0005 0.001 0.005 0.01 0.05]
split1_test_score,"[ 0.77806643  0.77806643  0.77806643  0.77806643  0.77806643  0.77806643
  0.77806643  0.77806643]"
